Sequence,Potential_V,Current_A
0,-0.2,-7.151e-05
1,-0.199,-7.103e-05
2,-0.198,-7.057e-05
3,-0.197,-7.012e-05
4,-0.196,-6.971e-05
5,-0.195,-6.931e-05
6,-0.194,-6.891e-05
7,-0.193,-6.851e-05
8,-0.192,-6.812e-05
9,-0.191,-6.775e-05
10,-0.19,-6.74e-05
11,-0.189,-6.706e-05
12,-0.188,-6.671e-05
13,-0.187,-6.636e-05
14,-0.186,-6.602e-05
15,-0.185,-6.568e-05
16,-0.184,-6.537e-05
17,-0.183,-6.507e-05
18,-0.182,-6.477e-05
19,-0.181,-6.447e-05
20,-0.18,-6.415e-05
21,-0.179,-6.383e-05
22,-0.178,-6.351e-05
23,-0.177,-6.321e-05
24,-0.176,-6.293e-05
25,-0.175,-6.265e-05
26,-0.174,-6.238e-05
27,-0.173,-6.21e-05
28,-0.172,-6.182e-05
29,-0.171,-6.154e-05
30,-0.17,-6.126e-05
31,-0.169,-6.099e-05
32,-0.168,-6.072e-05
33,-0.167,-6.046e-05
34,-0.166,-6.021e-05
35,-0.165,-5.998e-05
36,-0.164,-5.973e-05
37,-0.163,-5.948e-05
38,-0.162,-5.922e-05
39,-0.161,-5.896e-05
40,-0.16,-5.871e-05
41,-0.159,-5.846e-05
42,-0.158,-5.821e-05
43,-0.157,-5.797e-05
44,-0.156,-5.774e-05
45,-0.155,-5.753e-05
46,-0.154,-5.731e-05
47,-0.153,-5.709e-05
48,-0.152,-5.686e-05
49,-0.151,-5.663e-05
50,-0.15,-5.64e-05
51,-0.149,-5.618e-05
52,-0.148,-5.596e-05
53,-0.147,-5.574e-05
54,-0.146,-5.552e-05
55,-0.145,-5.531e-05
56,-0.144,-5.511e-05
57,-0.143,-5.49e-05
58,-0.142,-5.468e-05
59,-0.141,-5.446e-05
60,-0.14,-5.425e-05
61,-0.139,-5.404e-05
62,-0.138,-5.384e-05
63,-0.137,-5.363e-05
64,-0.136,-5.342e-05
65,-0.135,-5.322e-05
66,-0.134,-5.301e-05
67,-0.133,-5.282e-05
68,-0.132,-5.263e-05
69,-0.131,-5.243e-05
70,-0.13,-5.223e-05
71,-0.129,-5.203e-05
72,-0.128,-5.184e-05
73,-0.127,-5.165e-05
74,-0.126,-5.147e-05
75,-0.125,-5.128e-05
76,-0.124,-5.109e-05
77,-0.123,-5.089e-05
78,-0.122,-5.069e-05
79,-0.121,-5.051e-05
80,-0.12,-5.034e-05
81,-0.119,-5.018e-05
82,-0.118,-5e-05
83,-0.117,-4.98e-05
84,-0.116,-4.96e-05
85,-0.115,-4.94e-05
86,-0.114,-4.921e-05
87,-0.113,-4.904e-05
88,-0.112,-4.886e-05
89,-0.111,-4.868e-05
90,-0.11,-4.85e-05
91,-0.109,-4.831e-05
92,-0.108,-4.814e-05
93,-0.107,-4.797e-05
94,-0.106,-4.781e-05
95,-0.105,-4.765e-05
96,-0.104,-4.748e-05
97,-0.103,-4.731e-05
98,-0.102,-4.714e-05
99,-0.101,-4.698e-05
100,-0.1,-4.682e-05
101,-0.099,-4.667e-05
102,-0.098,-4.65e-05
103,-0.097,-4.633e-05
104,-0.096,-4.615e-05
105,-0.095,-4.597e-05
