Sequence,Potential_V,Current_A
0,-0.2,-5.188e-05
1,-0.199,-5.156e-05
2,-0.198,-5.126e-05
3,-0.197,-5.098e-05
4,-0.196,-5.072e-05
5,-0.195,-5.048e-05
6,-0.194,-5.026e-05
7,-0.193,-5.004e-05
8,-0.192,-4.98e-05
9,-0.191,-4.957e-05
10,-0.19,-4.934e-05
11,-0.189,-4.912e-05
12,-0.188,-4.891e-05
13,-0.187,-4.87e-05
14,-0.186,-4.85e-05
15,-0.185,-4.83e-05
16,-0.184,-4.811e-05
17,-0.183,-4.793e-05
18,-0.182,-4.776e-05
19,-0.181,-4.758e-05
20,-0.18,-4.74e-05
21,-0.179,-4.722e-05
22,-0.178,-4.704e-05
23,-0.177,-4.687e-05
24,-0.176,-4.671e-05
25,-0.175,-4.655e-05
26,-0.174,-4.638e-05
27,-0.173,-4.62e-05
28,-0.172,-4.602e-05
29,-0.171,-4.585e-05
30,-0.17,-4.569e-05
31,-0.169,-4.554e-05
32,-0.168,-4.54e-05
33,-0.167,-4.525e-05
34,-0.166,-4.51e-05
35,-0.165,-4.493e-05
36,-0.164,-4.475e-05
37,-0.163,-4.458e-05
38,-0.162,-4.443e-05
39,-0.161,-4.428e-05
40,-0.16,-4.414e-05
41,-0.159,-4.4e-05
42,-0.158,-4.386e-05
43,-0.157,-4.371e-05
44,-0.156,-4.356e-05
45,-0.155,-4.341e-05
46,-0.154,-4.327e-05
47,-0.153,-4.314e-05
48,-0.152,-4.302e-05
49,-0.151,-4.29e-05
50,-0.15,-4.277e-05
51,-0.149,-4.263e-05
52,-0.148,-4.249e-05
53,-0.147,-4.234e-05
54,-0.146,-4.221e-05
55,-0.145,-4.208e-05
56,-0.144,-4.195e-05
57,-0.143,-4.183e-05
58,-0.142,-4.171e-05
59,-0.141,-4.159e-05
60,-0.14,-4.147e-05
61,-0.139,-4.133e-05
62,-0.138,-4.12e-05
63,-0.137,-4.107e-05
64,-0.136,-4.095e-05
65,-0.135,-4.083e-05
66,-0.134,-4.072e-05
67,-0.133,-4.062e-05
68,-0.132,-4.052e-05
69,-0.131,-4.042e-05
70,-0.13,-4.031e-05
71,-0.129,-4.019e-05
72,-0.128,-4.006e-05
73,-0.127,-3.993e-05
74,-0.126,-3.98e-05
75,-0.125,-3.967e-05
76,-0.124,-3.956e-05
77,-0.123,-3.945e-05
78,-0.122,-3.934e-05
79,-0.121,-3.924e-05
80,-0.12,-3.913e-05
81,-0.119,-3.903e-05
82,-0.118,-3.892e-05
83,-0.117,-3.881e-05
84,-0.116,-3.871e-05
85,-0.115,-3.861e-05
86,-0.114,-3.851e-05
87,-0.113,-3.842e-05
88,-0.112,-3.833e-05
89,-0.111,-3.825e-05
90,-0.11,-3.816e-05
91,-0.109,-3.807e-05
92,-0.108,-3.799e-05
93,-0.107,-3.789e-05
94,-0.106,-3.779e-05
95,-0.105,-3.769e-05
96,-0.104,-3.758e-05
97,-0.103,-3.747e-05
98,-0.102,-3.737e-05
99,-0.101,-3.727e-05
100,-0.1,-3.717e-05
101,-0.099,-3.707e-05
102,-0.098,-3.697e-05
103,-0.097,-3.687e-05
104,-0.096,-3.678e-05
105,-0.095,-3.668e-05
106,-0.094,-3.659e-05
107,-0.093,-3.648e-05
108,-0.092,-3.638e-05
109,-0.091,-3.628e-05
110,-0.09,-3.618e-05
111,-0.089,-3.608e-05
112,-0.088,-3.599e-05
113,-0.087,-3.59e-05
114,-0.086,-3.582e-05
115,-0.085,-3.574e-05
116,-0.084,-3.567e-05
117,-0.083,-3.559e-05
118,-0.082,-3.55e-05
119,-0.081,-3.541e-05
120,-0.08,-3.531e-05
121,-0.079,-3.521e-05
122,-0.078,-3.51e-05
123,-0.077,-3.5e-05
124,-0.076,-3.49e-05
125,-0.075,-3.48e-05
126,-0.074,-3.47e-05
127,-0.073,-3.461e-05
128,-0.072,-3.452e-05
129,-0.071,-3.443e-05
130,-0.07,-3.434e-05
131,-0.069,-3.426e-05
132,-0.068,-3.417e-05
133,-0.067,-3.407e-05
134,-0.066,-3.398e-05
135,-0.065,-3.389e-05
136,-0.064,-3.38e-05
137,-0.063,-3.371e-05
138,-0.062,-3.362e-05
139,-0.061,-3.354e-05
140,-0.06,-3.346e-05
141,-0.059,-3.338e-05
142,-0.058,-3.33e-05
143,-0.057,-3.323e-05
144,-0.056,-3.315e-05
145,-0.055,-3.306e-05
146,-0.054,-3.297e-05
147,-0.053,-3.288e-05
148,-0.052,-3.278e-05
149,-0.051,-3.269e-05
150,-0.05,-3.259e-05
151,-0.049,-3.25e-05
152,-0.048,-3.24e-05
153,-0.047,-3.232e-05
154,-0.046,-3.223e-05
155,-0.045,-3.214e-05
156,-0.044,-3.206e-05
157,-0.043,-3.198e-05
158,-0.042,-3.189e-05
159,-0.041,-3.181e-05
160,-0.04,-3.172e-05
161,-0.039,-3.164e-05
162,-0.038,-3.155e-05
163,-0.037,-3.146e-05
164,-0.036,-3.137e-05
165,-0.035,-3.128e-05
166,-0.034,-3.12e-05
167,-0.033,-3.112e-05
168,-0.032,-3.104e-05
169,-0.031,-3.096e-05
170,-0.03,-3.089e-05
171,-0.029,-3.082e-05
172,-0.028,-3.075e-05
173,-0.027,-3.068e-05
174,-0.026,-3.061e-05
175,-0.025,-3.053e-05
176,-0.024,-3.044e-05
177,-0.023,-3.034e-05
178,-0.022,-3.024e-05
179,-0.021,-3.015e-05
180,-0.02,-3.005e-05
181,-0.019,-2.995e-05
182,-0.018,-2.986e-05
183,-0.017,-2.977e-05
184,-0.016,-2.969e-05
185,-0.015,-2.961e-05
186,-0.014,-2.952e-05
187,-0.013,-2.944e-05
188,-0.012,-2.936e-05
189,-0.011,-2.927e-05
190,-0.01,-2.918e-05
191,-0.009,-2.909e-05
192,-0.008,-2.9e-05
193,-0.007,-2.892e-05
194,-0.006,-2.883e-05
195,-0.005,-2.875e-05
196,-0.004,-2.866e-05
197,-0.003,-2.859e-05
198,-0.002,-2.851e-05
199,-0.001,-2.843e-05
200,0.0,-2.836e-05
201,0.001,-2.829e-05
202,0.002,-2.821e-05
203,0.003,-2.813e-05
204,0.004,-2.803e-05
205,0.005,-2.794e-05
206,0.006,-2.784e-05
207,0.007,-2.774e-05
208,0.008,-2.765e-05
209,0.009,-2.756e-05
210,0.01,-2.747e-05
211,0.011,-2.738e-05
212,0.012,-2.729e-05
213,0.013,-2.721e-05
214,0.014,-2.712e-05
215,0.015,-2.704e-05
216,0.016,-2.695e-05
217,0.017,-2.687e-05
218,0.018,-2.677e-05
219,0.019,-2.668e-05
220,0.02,-2.659e-05
221,0.021,-2.649e-05
222,0.022,-2.64e-05
223,0.023,-2.631e-05
224,0.024,-2.622e-05
225,0.025,-2.614e-05
226,0.026,-2.606e-05
227,0.027,-2.599e-05
228,0.028,-2.591e-05
229,0.029,-2.584e-05
230,0.03,-2.576e-05
231,0.031,-2.568e-05
232,0.032,-2.558e-05
233,0.033,-2.548e-05
234,0.034,-2.536e-05
235,0.035,-2.525e-05
236,0.036,-2.514e-05
237,0.037,-2.503e-05
238,0.038,-2.493e-05
239,0.039,-2.484e-05
240,0.04,-2.474e-05
241,0.041,-2.465e-05
242,0.042,-2.455e-05
243,0.043,-2.446e-05
244,0.044,-2.435e-05
245,0.045,-2.425e-05
246,0.046,-2.414e-05
247,0.047,-2.403e-05
248,0.048,-2.393e-05
249,0.049,-2.383e-05
250,0.05,-2.374e-05
251,0.051,-2.365e-05
252,0.052,-2.355e-05
253,0.053,-2.346e-05
254,0.054,-2.336e-05
255,0.055,-2.325e-05
256,0.056,-2.314e-05
257,0.057,-2.302e-05
258,0.058,-2.29e-05
259,0.059,-2.277e-05
260,0.06,-2.265e-05
261,0.061,-2.253e-05
262,0.062,-2.242e-05
263,0.063,-2.23e-05
264,0.064,-2.219e-05
265,0.065,-2.207e-05
266,0.066,-2.195e-05
267,0.067,-2.182e-05
268,0.068,-2.17e-05
269,0.069,-2.157e-05
270,0.07,-2.145e-05
271,0.071,-2.133e-05
272,0.072,-2.121e-05
273,0.073,-2.111e-05
274,0.074,-2.1e-05
275,0.075,-2.089e-05
276,0.076,-2.077e-05
277,0.077,-2.063e-05
278,0.078,-2.047e-05
279,0.079,-2.031e-05
280,0.08,-2.015e-05
281,0.081,-1.999e-05
282,0.082,-1.985e-05
283,0.083,-1.971e-05
284,0.084,-1.956e-05
285,0.085,-1.941e-05
286,0.086,-1.924e-05
287,0.087,-1.908e-05
288,0.088,-1.892e-05
289,0.089,-1.877e-05
290,0.09,-1.862e-05
291,0.091,-1.848e-05
292,0.092,-1.832e-05
293,0.093,-1.815e-05
294,0.094,-1.797e-05
295,0.095,-1.779e-05
296,0.096,-1.762e-05
297,0.097,-1.744e-05
298,0.098,-1.726e-05
299,0.099,-1.707e-05
300,0.1,-1.687e-05
301,0.101,-1.668e-05
302,0.102,-1.649e-05
303,0.103,-1.631e-05
304,0.104,-1.612e-05
305,0.105,-1.592e-05
306,0.106,-1.57e-05
307,0.107,-1.548e-05
308,0.108,-1.525e-05
309,0.109,-1.502e-05
310,0.11,-1.479e-05
311,0.111,-1.456e-05
312,0.112,-1.433e-05
313,0.113,-1.41e-05
314,0.114,-1.386e-05
315,0.115,-1.363e-05
316,0.116,-1.338e-05
317,0.117,-1.313e-05
318,0.118,-1.287e-05
319,0.119,-1.261e-05
320,0.12,-1.235e-05
321,0.121,-1.208e-05
322,0.122,-1.181e-05
323,0.123,-1.153e-05
324,0.124,-1.125e-05
325,0.125,-1.096e-05
326,0.126,-1.066e-05
327,0.127,-1.035e-05
328,0.128,-1.003e-05
329,0.129,-9.719e-06
330,0.13,-9.406e-06
331,0.131,-9.091e-06
332,0.132,-8.768e-06
333,0.133,-8.435e-06
334,0.134,-8.092e-06
335,0.135,-7.743e-06
336,0.136,-7.391e-06
337,0.137,-7.039e-06
338,0.138,-6.687e-06
339,0.139,-6.329e-06
340,0.14,-5.96e-06
341,0.141,-5.577e-06
342,0.142,-5.188e-06
343,0.143,-4.793e-06
344,0.144,-4.395e-06
345,0.145,-3.994e-06
346,0.146,-3.584e-06
347,0.147,-3.163e-06
348,0.148,-2.74e-06
349,0.149,-2.312e-06
350,0.15,-1.88e-06
351,0.151,-1.443e-06
352,0.152,-9.894e-07
353,0.153,-5.215e-07
354,0.154,-5.01e-08
355,0.155,4.234e-07
356,0.156,8.95e-07
357,0.157,1.368e-06
358,0.158,1.846e-06
359,0.159,2.328e-06
360,0.16,2.814e-06
361,0.161,3.31e-06
362,0.162,3.822e-06
363,0.163,4.353e-06
364,0.164,4.894e-06
365,0.165,5.442e-06
366,0.166,5.996e-06
367,0.167,6.553e-06
368,0.168,7.112e-06
369,0.169,7.678e-06
370,0.17,8.251e-06
371,0.171,8.84e-06
372,0.172,9.442e-06
