Sequence,Potential_V,Current_A
0,-0.2,-6.868e-05
1,-0.199,-6.792e-05
2,-0.198,-6.726e-05
3,-0.197,-6.669e-05
4,-0.196,-6.625e-05
5,-0.195,-6.587e-05
6,-0.194,-6.553e-05
7,-0.193,-6.518e-05
8,-0.192,-6.485e-05
9,-0.191,-6.452e-05
10,-0.19,-6.419e-05
11,-0.189,-6.385e-05
12,-0.188,-6.353e-05
13,-0.187,-6.321e-05
14,-0.186,-6.292e-05
15,-0.185,-6.263e-05
16,-0.184,-6.235e-05
17,-0.183,-6.206e-05
18,-0.182,-6.177e-05
19,-0.181,-6.149e-05
20,-0.18,-6.121e-05
21,-0.179,-6.094e-05
22,-0.178,-6.067e-05
23,-0.177,-6.042e-05
24,-0.176,-6.018e-05
25,-0.175,-5.994e-05
26,-0.174,-5.97e-05
27,-0.173,-5.945e-05
28,-0.172,-5.92e-05
29,-0.171,-5.895e-05
30,-0.17,-5.87e-05
31,-0.169,-5.846e-05
32,-0.168,-5.823e-05
33,-0.167,-5.8e-05
34,-0.166,-5.778e-05
35,-0.165,-5.757e-05
36,-0.164,-5.737e-05
37,-0.163,-5.715e-05
38,-0.162,-5.693e-05
39,-0.161,-5.671e-05
40,-0.16,-5.65e-05
41,-0.159,-5.629e-05
42,-0.158,-5.609e-05
43,-0.157,-5.588e-05
44,-0.156,-5.567e-05
45,-0.155,-5.547e-05
46,-0.154,-5.528e-05
47,-0.153,-5.51e-05
48,-0.152,-5.49e-05
49,-0.151,-5.47e-05
50,-0.15,-5.45e-05
51,-0.149,-5.43e-05
52,-0.148,-5.411e-05
53,-0.147,-5.392e-05
54,-0.146,-5.375e-05
55,-0.145,-5.356e-05
56,-0.144,-5.337e-05
57,-0.143,-5.319e-05
58,-0.142,-5.301e-05
59,-0.141,-5.283e-05
60,-0.14,-5.267e-05
61,-0.139,-5.25e-05
62,-0.138,-5.233e-05
63,-0.137,-5.214e-05
64,-0.136,-5.196e-05
65,-0.135,-5.179e-05
66,-0.134,-5.162e-05
67,-0.133,-5.146e-05
68,-0.132,-5.13e-05
69,-0.131,-5.114e-05
70,-0.13,-5.097e-05
71,-0.129,-5.08e-05
72,-0.128,-5.064e-05
73,-0.127,-5.049e-05
74,-0.126,-5.035e-05
75,-0.125,-5.021e-05
76,-0.124,-5.006e-05
77,-0.123,-4.99e-05
78,-0.122,-4.973e-05
79,-0.121,-4.956e-05
80,-0.12,-4.94e-05
81,-0.119,-4.924e-05
82,-0.118,-4.91e-05
83,-0.117,-4.895e-05
84,-0.116,-4.881e-05
85,-0.115,-4.866e-05
86,-0.114,-4.85e-05
87,-0.113,-4.835e-05
88,-0.112,-4.821e-05
89,-0.111,-4.807e-05
90,-0.11,-4.794e-05
91,-0.109,-4.781e-05
92,-0.108,-4.768e-05
93,-0.107,-4.754e-05
94,-0.106,-4.74e-05
95,-0.105,-4.726e-05
96,-0.104,-4.712e-05
97,-0.103,-4.699e-05
98,-0.102,-4.687e-05
99,-0.101,-4.675e-05
100,-0.1,-4.662e-05
101,-0.099,-4.649e-05
102,-0.098,-4.635e-05
103,-0.097,-4.621e-05
104,-0.096,-4.606e-05
105,-0.095,-4.592e-05
106,-0.094,-4.578e-05
107,-0.093,-4.566e-05
108,-0.092,-4.554e-05
109,-0.091,-4.543e-05
110,-0.09,-4.532e-05
111,-0.089,-4.52e-05
112,-0.088,-4.508e-05
113,-0.087,-4.494e-05
114,-0.086,-4.479e-05
115,-0.085,-4.465e-05
116,-0.084,-4.451e-05
117,-0.083,-4.439e-05
118,-0.082,-4.427e-05
119,-0.081,-4.415e-05
120,-0.08,-4.404e-05
121,-0.079,-4.392e-05
122,-0.078,-4.38e-05
123,-0.077,-4.368e-05
