Sequence,Potential_V,Current_A
0,-0.2,-4.932e-05
1,-0.199,-4.812e-05
2,-0.198,-4.713e-05
3,-0.197,-4.637e-05
4,-0.196,-4.59e-05
5,-0.195,-4.557e-05
6,-0.194,-4.529e-05
7,-0.193,-4.498e-05
8,-0.192,-4.468e-05
9,-0.191,-4.44e-05
10,-0.19,-4.413e-05
11,-0.189,-4.388e-05
12,-0.188,-4.364e-05
13,-0.187,-4.341e-05
14,-0.186,-4.318e-05
15,-0.185,-4.296e-05
16,-0.184,-4.274e-05
17,-0.183,-4.252e-05
18,-0.182,-4.231e-05
19,-0.181,-4.211e-05
20,-0.18,-4.192e-05
21,-0.179,-4.175e-05
22,-0.178,-4.157e-05
23,-0.177,-4.138e-05
24,-0.176,-4.118e-05
25,-0.175,-4.098e-05
26,-0.174,-4.08e-05
27,-0.173,-4.064e-05
28,-0.172,-4.048e-05
29,-0.171,-4.033e-05
30,-0.17,-4.016e-05
31,-0.169,-3.998e-05
32,-0.168,-3.979e-05
33,-0.167,-3.961e-05
34,-0.166,-3.945e-05
35,-0.165,-3.929e-05
36,-0.164,-3.914e-05
37,-0.163,-3.899e-05
38,-0.162,-3.883e-05
39,-0.161,-3.869e-05
40,-0.16,-3.854e-05
41,-0.159,-3.841e-05
42,-0.158,-3.829e-05
43,-0.157,-3.817e-05
44,-0.156,-3.805e-05
45,-0.155,-3.793e-05
46,-0.154,-3.78e-05
47,-0.153,-3.767e-05
48,-0.152,-3.753e-05
49,-0.151,-3.739e-05
50,-0.15,-3.725e-05
51,-0.149,-3.712e-05
52,-0.148,-3.699e-05
53,-0.147,-3.687e-05
54,-0.146,-3.675e-05
55,-0.145,-3.663e-05
56,-0.144,-3.651e-05
57,-0.143,-3.638e-05
58,-0.142,-3.625e-05
59,-0.141,-3.612e-05
60,-0.14,-3.6e-05
61,-0.139,-3.589e-05
62,-0.138,-3.579e-05
63,-0.137,-3.569e-05
64,-0.136,-3.56e-05
65,-0.135,-3.549e-05
66,-0.134,-3.538e-05
67,-0.133,-3.526e-05
68,-0.132,-3.514e-05
69,-0.131,-3.502e-05
70,-0.13,-3.49e-05
71,-0.129,-3.479e-05
72,-0.128,-3.468e-05
73,-0.127,-3.457e-05
74,-0.126,-3.448e-05
75,-0.125,-3.438e-05
76,-0.124,-3.429e-05
77,-0.123,-3.418e-05
78,-0.122,-3.407e-05
79,-0.121,-3.397e-05
80,-0.12,-3.386e-05
81,-0.119,-3.377e-05
82,-0.118,-3.367e-05
83,-0.117,-3.358e-05
84,-0.116,-3.349e-05
85,-0.115,-3.341e-05
86,-0.114,-3.332e-05
87,-0.113,-3.323e-05
88,-0.112,-3.314e-05
89,-0.111,-3.305e-05
90,-0.11,-3.295e-05
91,-0.109,-3.285e-05
92,-0.108,-3.275e-05
93,-0.107,-3.265e-05
94,-0.106,-3.256e-05
95,-0.105,-3.247e-05
96,-0.104,-3.238e-05
97,-0.103,-3.23e-05
98,-0.102,-3.222e-05
99,-0.101,-3.214e-05
100,-0.1,-3.205e-05
101,-0.099,-3.197e-05
102,-0.098,-3.189e-05
103,-0.097,-3.18e-05
104,-0.096,-3.171e-05
105,-0.095,-3.162e-05
106,-0.094,-3.153e-05
107,-0.093,-3.145e-05
